Id,User Name,Personal URL,Profile Cover Image Status,Profile Verification Status,Profile Text Color,Profile Page Color,Profile Theme Color,Is Profile View Size Customized?,UTC Offset,Location,Location Public Visibility,User Language,Profile Creation Timestamp,User Time Zone,Num of Followers,Num of People Following,Num of Status Updates,Num of Direct Messages,Profile Category,Avg Daily Profile Visit Duration in seconds,Avg Daily Profile Clicks,Profile Image,Num of Profile Likes
9P4FRH3ICREEQL1D,I_vBvSaqgL,,Set,Not verified,0084b4,ddeef6,c0deed,False,-18000.0,"North-central Illinois, USA",disabled,en,Mon Jan 23 00:56:20 +0000 2012,Central Time (US & Canada),353190,345315,186205,2638,business,20.713,4.8294,9P4FRH3ICREEQL1D.png,42331
L4MD8S7I854CCA79,Myzt2jiyXlu,,Set,Verified,1da1f2,ddeef6,c0deed,True,-14400.0,,Disabled,en,Tue Oct 25 15:27:01 +0000 2011,Eastern Time (US & Canada),1523260,147,682,5087,unknown,14.11,1.8392,L4MD8S7I854CCA79.png,488
JEO0AQGJJJRAHH8O,qBaanWdXU7nAgoG,https://blob/Ytxzn/oris.com,Set,Not verified,009999,efefef,131516,False,,"Managua,Nicaragua",Enabled,es,Sun Oct 31 04:17:03 +0000 2010,,170931,975,20463,120,business,28.233,6.1823,JEO0AQGJJJRAHH8O.png,34259
A6MPJK96T5S3R2II,9vByH8s,,Set,Verified,1f3036,44b1e3,2183b8,False,19800.0,Mumbai,Enabled,en,Sun Oct 24 06:44:35 +0000 2010,New Delhi,115675,427,6596,74,unknown,12.854,1.415,A6MPJK96T5S3R2II.png,5476
T8TL95QJNJN7KFSD,9ZY_fwgOeYFq,,Set,Not verified,19cf86,ddeef6,c0deed,False,-25200.0,JOIN THE MOVEMENT!,Disabled,en,Sun Nov 21 06:23:27 +0000 2010,Arizona,76204,24898,52235,1274,business,25.871,4.9887,T8TL95QJNJN7KFSD.png,3426
7O9J1007CD9K4P6E,oh8iCDx_G,,Not set,Verified,f57936,ddffcc,000000,False,-14400.0,"Philadelphia, PA",Enabled,en,Tue Jan 27 21:41:32 +0000 2009,Eastern Time (US & Canada),1537251,251,34486,5944,business,11.44,2.9459,7O9J1007CD9K4P6E.png,2368
7379R4EBF9P956HN,Foa7_MTVofI9,https://blob/4nI2bggtg.com,Not set,Verified,3b94d9,000000,000000,False,-18000.0,,Enabled,en,Wed Jul 13 22:47:31 +0000 2011,Central Time (US & Canada),71436,297,91085,190,business,15.731,1.3614,7379R4EBF9P956HN.png,141
PLD0NTJ28SK0QNDH,jrGfhP4h,,Set,Not verified,f68b28,e1ebed,c0deed,False,,London & Manchester,Enabled,en,Fri Mar 19 17:45:06 +0000 2010,,9021,2408,3453,126,unknown,12.461,0.6458,PLD0NTJ28SK0QNDH.png,2092
NHT7F7ILCH5MM3NO,el8oyIDiDbdYXr,,Set,Not verified,000000,ddffcc,9ae4e8,False,3600.0,UK,disabled,en,Wed Mar 24 20:02:06 +0000 2010,London,234492,176725,69931,136,business,6.821,1.4189,NHT7F7ILCH5MM3NO.png,1383
HJ39PGGHEGD6TBGR,46e7Bcv,https://blob/6n63g_dkh.com,Not set,Not verified,0084b4,ddffcc,c22930,False,-18000.0,"Houston, Texas",Enabled,en,Thu Nov 06 14:20:17 +0000 2008,Central Time (US & Canada),19037,1010,3672,367,unknown,16.077,0.6232,HJ39PGGHEGD6TBGR.png,325
9RC1RTSBR3AJSFBN,zUAr0pI4w0i0ft,,Set,Verified,1da1f2,ddeef6,c0deed,True,32400.0,,Enabled,ja,Sat Oct 01 14:28:08 +0000 2011,Tokyo,167026,0,542,830,unknown,5.519,1.79,9RC1RTSBR3AJSFBN.png,3637
JMN022STT5BN87SG,MaurK2xaoaC,,Set,Verified,000000,ddeef6,000000,False,,"Istanbul, Türkei",Disabled,de,Tue Feb 08 09:24:33 +0000 2011,,955736,108,1378,1503,unknown,8.78,0.4526,JMN022STT5BN87SG.png,29
FLCS4PR3B5592578,g2ZoAhSC7,https://blob/xiir7vpqt.com,Set,Not verified,261b21,ddeef6,ffffff,False,32400.0,次元の狭間,Disabled,ja,Sat Sep 27 03:11:30 +0000 2014,Seoul,11362,1,964,159,business,25.38,1.4896,FLCS4PR3B5592578.png,1
1JHSRR2EH77DQO30,vua1g0tfwH,https://blob/5in.CtvxUh.com,Not set,Verified,0084b4,ddeef6,eeeeee,False,-25200.0,New Zealand,Enabled,en,Wed Jun 27 04:01:16 +0000 2012,Pacific Time (US & Canada),13518,125,4656,112,unknown,27.486,2.6575,1JHSRR2EH77DQO30.png,611
FL8L0BB95RHDT6KB,sjJasnUcar,,Not set,Not verified,fa743e,ddeef6,ff6600,False,,Milano,Enabled,it,Wed Oct 23 09:36:06 +0000 2013,,91829,528,3609,376,unknown,27.193,4.2418,FL8L0BB95RHDT6KB.png,2806
2KH2156G99MCKEGD,R8J7QutcWa,,Set,Not verified,1da1f2,ddeef6,c0deed,True,28800.0,Philippines,Disabled,en,Wed Jun 10 10:24:56 +0000 2009,Hong Kong,199594,510,17822,121,business,26.466,8.0412,2KH2156G99MCKEGD.png,6464
PMB2BF4G63T2ALR6,ftuoHtTahDtSl8,https://blob/8Ek0Eo/pp.com,Set,Verified,64abeb,efefef,c2c0c1,False,-21600.0,WORLDWIDE,Enabled,en,Mon May 25 10:30:34 +0000 2009,Mountain Time (US & Canada),9375623,300,2785,18102,unknown,21.083,1.3465,PMB2BF4G63T2ALR6.png,56
6LCK766O5EP9T5HQ,y1taR_rvceUnTUB,,Set,Verified,80b5d6,002756,00213d,False,19800.0,"Pune, India",enabled,en,Fri Nov 06 04:29:17 +0000 2009,New Delhi,8648,234,10284,261,unknown,19.446,1.4072,6LCK766O5EP9T5HQ.png,1083
RKAFR6TA0Q9NR8BN,FtgyPZxxJeP,,Set,Verified,0196d5,99cc33,244f35,False,-14400.0,"Washington, DC",Enabled,en,Wed Oct 29 16:42:43 +0000 2008,Eastern Time (US & Canada),441701,307,6287,2954,unknown,18.563,1.191,RKAFR6TA0Q9NR8BN.png,1525
GA75KLPQDQC6EAOM,nbq264,,Set,Verified,0084b4,ddffcc,9ae4e8,False,-10800.0,Brasil,disabled,pt,Tue Nov 18 22:58:36 +0000 2008,Brasilia,602514,57,39939,1432,business,32.871,4.2747,GA75KLPQDQC6EAOM.png,711
81DTJNHB9B08G4ED,uVOnyUuyeeUO,https://blob/t9m_p7l9ut.com,Set,Not verified,da291c,ffffff,022330,False,-14400.0,New York City,Enabled,en,Fri Feb 13 15:48:41 +0000 2009,Eastern Time (US & Canada),17647,2295,11302,667,celebrity,34.266,8.6571,81DTJNHB9B08G4ED.png,11189
6TI9B2OAS2A04S0Q,8Zl9a2rHolOrJj,,Not set,Verified,642d8b,7ac3ee,171717,False,-25200.0,,Disabled,en,Wed Dec 02 08:48:28 +0000 2009,Pacific Time (US & Canada),62471,16,4797,231,unknown,14.829,0.8103,6TI9B2OAS2A04S0Q.png,3125
SS8AHOB200NLFKI7,wVzWg,,Set,Verified,fcd116,ffe100,100f0f,False,-18000.0,"Iowa City, IA",enabled,en,Fri Apr 25 21:39:13 +0000 2008,Central Time (US & Canada),104528,697,14399,1075,celebrity,24.917,5.4378,SS8AHOB200NLFKI7.png,18051
4F65H007IRM3AAAT,NfuQgO3sdmz2,https://blob/t9/dp4qxop.com,Set,Pending,53bfe9,faf1da,ffffff,False,-14400.0,"Orlando, Florida",Disabled,en,Fri Feb 06 01:34:10 +0000 2009,Eastern Time (US & Canada),4575,678,3710,115,unknown,22.996,2.588,4F65H007IRM3AAAT.png,1089
L9N5M4SQE41GNH23,wqJ32W,,Set,Verified,89c9fa,ddeef6,89c9fa,False,-25200.0,"Plano, TX",enabled,en,Tue Mar 25 21:45:13 +0000 2008,Pacific Time (US & Canada),709606,19000,28156,4533,business,14.809,6.3697,L9N5M4SQE41GNH23.png,28698
QDIFS77N82S04C34,Hu9yuaMzOySs7I,https://blob/c_rb1t/:p.com,Set,Verified,0084b4,c0deed,ffffff,False,-25200.0,,Enabled,en,Mon Sep 21 06:47:04 +0000 2009,Pacific Time (US & Canada),7371096,864,3174,17482,unknown,30.847,2.6389,QDIFS77N82S04C34.png,350
16G5ELIPL7HOC230,58Hw,,Set,Verified,009999,efefef,131516,False,-18000.0,北京,enabled,zh-cn,Sun May 31 06:37:34 +0000 2009,Central Time (US & Canada),369244,20037,148339,5459,business,24.689,3.3449,16G5ELIPL7HOC230.png,11051
56KBEPJ83CBCMJQJ,iXoakDaLofL,https://blob/thumbhyw_6wmm.com,,Not verified,030363,a60000,567eb9,False,-14400.0,New York,Enabled,en,Sat Mar 07 05:50:07 +0000 2009,Eastern Time (US & Canada),22998,1528,4251,414,unknown,9.576,3.1583,56KBEPJ83CBCMJQJ.png,454
QMH2H4EBQAT6CPDA,LsHN5qOk,,Set,Verified,0098b3,ddeef6,c0deed,False,-18000.0,Mexico,Enabled,en,Fri Jun 19 21:51:42 +0000 2009,Central Time (US & Canada),236213,513,14493,1263,celebrity,21.956,7.0009,QMH2H4EBQAT6CPDA.png,12640
77NJ3010TCRHBBL2,rNvO0fsu5CtO,,Not set,Verified,c61d2b,171717,222222,False,-18000.0,"Austin, Texas",Enabled,en,Mon May 26 00:32:21 +0000 2008,Central Time (US & Canada),1050864,347,20783,3050,celebrity,16.578,1.6258,77NJ3010TCRHBBL2.png,14618
E8QHGNSDBF02TEA5,1I8gm2rlQb2hD,,Set,Verified,009999,efefef,131516,False,10800.0,"Trabzon, Türkiye",disabled,tr,Fri Feb 01 14:26:45 +0000 2013,Athens,1362191,11,106,871,unknown,,1.65,E8QHGNSDBF02TEA5.png,54
MGS0LDCQBRMK7JRS,xtxNUqFtZeN,https://blob/jflx1_jUd.com,Set,Not verified,0084b4,ddeef6,fbf9fa,False,7200.0,Amsterdam,Disabled,nl,Fri Dec 03 14:02:53 +0000 2010,Amsterdam,416,541,1089,16,unknown,12.279,1.1092,MGS0LDCQBRMK7JRS.png,92
5QBID8R1DQ6P4L10,SaPXBLKlJA,,Set,Verified,ffba13,ffffff,000000,False,-25200.0,"Washington, DC",Enabled,en,Fri Apr 17 22:16:25 +0000 2009,Pacific Time (US & Canada),1962986,1324,32540,3533,business,22.463,5.7874,5QBID8R1DQ6P4L10.png,24137
2AOO8TCISS4FA63B,aWOomtTLmS,https://blob/0lt01w/g8.com,Not set,Not verified,030303,ddeef6,2e2e2d,False,-28800.0,"Mandaluyong City, Philippines",Disabled,en,Sat Apr 23 10:57:10 +0000 2011,Alaska,64613,1088,16493,140,business,27.522,2.4916,2AOO8TCISS4FA63B.png,410
BJCES1T0Q2HQSFDQ,H2fCqv6nqed,,Set,Verified,0084b4,313542,000000,False,28800.0,Manila and San Francisco,Enabled,en,Tue Jan 18 19:53:13 +0000 2011,Hong Kong,1831212,388,10074,300,unknown,14.464,7.4946,BJCES1T0Q2HQSFDQ.png,12633
H2BBQQ4A2RJM7KKE,w_iYfargr8Tl5,https://blob/j_t6j/nb0.com,Set,Not verified,0084b4,ddeef6,c0deed,False,-18000.0,NYC,Disabled,en,Thu Dec 10 14:43:52 +0000 2009,Central Time (US & Canada),2076,890,2043,81,unknown,10.978,1.8973,H2BBQQ4A2RJM7KKE.png,12
DT6250ORM1DCIP66,xta5YSd,https://blob//kdsh:vo6.com,Not set,Pending,3e8ad6,90c3f4,3e8ad6,False,-7200.0,,Disabled,es,Sat Dec 05 17:53:37 +0000 2009,Greenland,191567,1,8438,1113,unknown,21.861,11.0181,DT6250ORM1DCIP66.png,0
4E4KR7GIMA65ETFJ,OmuzngS8pUI,https://blob/Gs38k//G/l.com,Set,Verified,05141a,76c6de,002d62,False,-21600.0,"Colorado Springs, Colorado",Enabled,en,Wed Sep 23 16:16:37 +0000 2009,Mountain Time (US & Canada),280098,2363,18195,1843,government,8.94,0.859,4E4KR7GIMA65ETFJ.png,2596
L7E2SI1731RFCPTN,I5DthPM0dokT,https://blob//o/r6u813o.com,Set,Verified,1c453b,f2f8f1,1a4036,False,-14400.0,"East Lansing, Mich.",??,en,Mon Apr 20 17:19:42 +0000 2009,Eastern Time (US & Canada),396934,609,24810,1495,government,32.27,3.7012,L7E2SI1731RFCPTN.png,537
M473N6M38GSPCEEJ,AOwN36C0yCEB5K6,https://blob/2tpa_dh_ep.com,Not set,Verified,0084b4,adc8d9,022330,False,-14400.0,Canada,Enabled,en,Wed Mar 03 20:24:12 +0000 2010,Eastern Time (US & Canada),6960,533,10791,112,business,38.106,3.4345,M473N6M38GSPCEEJ.png,3823
MQMAT5373DHHQ53A,ADAFgr,,Set,Not verified,1da1f2,ddeef6,c0deed,True,-14400.0,"Gainesville, FL",Enabled,en,Tue May 17 17:57:59 +0000 2011,Eastern Time (US & Canada),4314,3736,6129,68,unknown,12.486,8.2949,MQMAT5373DHHQ53A.png,5199
7N1QML512TTRFRPR,8kgiIwIVmeli1,https://blob/3telxm8io.com,Not set,Verified,19cf86,ffffcc,131516,False,7200.0,Amsterdam,Disabled,nl,Fri Mar 25 09:06:03 +0000 2011,Amsterdam,30358,13931,1075,187,unknown,23.552,5.7088,7N1QML512TTRFRPR.png,584
KJN5N5S398N9SD8P,PhUspW2mO762p,https://blob/tsvicAAjr.com,Not set,Not verified,333333,f1f7ed,719302,False,-14400.0,Boxford and North Andover,Enabled,en,Thu Jul 12 18:18:39 +0000 2007,Eastern Time (US & Canada),1015,1219,2949,27,unknown,34.976,0.6064,KJN5N5S398N9SD8P.png,34
AIM317QSPGR8F39E,TUP5puYtEA,,Set,Verified,abb8c2,ddeef6,cde1f5,False,3600.0,United Kingdom,Disabled,en,Thu Mar 24 11:54:12 +0000 2011,London,170194,899,23041,306,unknown,14.628,1.3219,AIM317QSPGR8F39E.png,3749
M9BC3E5778Q2REHL,jBaueAMwOmlX,https://blob/47Brrw0o/:.com,Set,Verified,2fc2ef,252429,1a1b1f,False,10800.0,"Dubai, United Arab Emirates",enabled,ar,Tue Oct 20 00:44:44 +0000 2009,Riyadh,321892,1456,16199,245,unknown,25.074,1.5196,M9BC3E5778Q2REHL.png,436
A07Q4M69E9EGO3G9,ZAB6e81i_728T,https://blob/y8x2u.p_i.com,Set,Not verified,abb8c2,ddeef6,c0deed,False,7200.0,Paris - France,Disabled,fr,Wed Oct 28 14:23:41 +0000 2009,Paris,5055,1903,2161,198,unknown,20.285,7.7711,A07Q4M69E9EGO3G9.png,183
0567ID5Q7KFG1A10,uKvgeLKArvi3Frr,,Not set,Not verified,2b9cd4,efefef,2b9cd4,False,-14400.0,México,Disabled,es,Thu Jul 11 21:39:52 +0000 2013,Eastern Time (US & Canada),3038,1291,2138,8,unknown,22.877,1.8205,0567ID5Q7KFG1A10.png,1904
GJOTI5QFSK45M0ID,ZhHQk6TOC,https://blob/yuct05O.h1.com,Set,Not verified,009999,efefef,131516,False,-25200.0, LA,Disabled,en,Thu Mar 05 03:49:01 +0000 2009,Pacific Time (US & Canada),15231,2362,29733,194,business,19.47,5.9712,GJOTI5QFSK45M0ID.png,264
LLQ351GJ210BS2M6,CKd,https://blob/oct03dpoq.com,Not set,Verified,185f7c,000000,000000,False,-14400.0,"New York, NY",Enabled,en,Wed Sep 12 21:09:11 +0000 2007,Eastern Time (US & Canada),1448111,67,154169,15620,celebrity,31.47,6.2117,LLQ351GJ210BS2M6.png,85
LDBBMSMFELG37TO9,ywhRiX6qJ472u,,Set,Verified,3b94d9,ddeef6,c0deed,False,19800.0,"Hyderabad, India",Enabled,en,Sat Feb 06 12:23:00 +0000 2010,New Delhi,5126006,265,10185,2938,unknown,10.962,1.7477,LDBBMSMFELG37TO9.png,344
G9H7C0J72O1MALO6,haWammrtJT,,Set,Not verified,009999,c0dfec,131516,False,25200.0,"Sudirman, Jakarta, Indonesia",Enabled,en,Mon Jul 06 11:38:08 +0000 2009,Jakarta,187505,168,23256,193,business,20.554,0.9987,G9H7C0J72O1MALO6.png,713
0GN79SFGMD18SRI7,FkoPVUXPf,,Set,Not verified,3b94d9,292929,131516,False,-25200.0,LAS VEGAS,Disabled,en,Thu Apr 29 00:33:49 +0000 2010,Pacific Time (US & Canada),236320,222654,17523,855,celebrity,21.289,0.7669,0GN79SFGMD18SRI7.png,2
47F3BAJDBMJDQS53,DhHvyc9Stee62,https://blob/chhtpMpfl.com,Set,Not verified,1b95e0,95b7cb,709397,False,-21600.0,,Disabled,en,Mon Mar 09 20:13:16 +0000 2009,Mountain Time (US & Canada),602604,55,669,9906,unknown,33.431,5.0591,47F3BAJDBMJDQS53.png,13
2DE3IQG14BA0MDAD,dib_xRMuzAf,,Set,Verified,0084b4,fff8db,ffffff,False,-18000.0,,enabled,en,Thu Aug 11 13:58:37 +0000 2011,Central Time (US & Canada),1249382,206970,177036,1254,celebrity,9.514,8.6656,2DE3IQG14BA0MDAD.png,7347
E2EL82825DOTSAM0,ux0Ipl46bm,,Set,Verified,1d467c,ffbf00,ffffff,False,7200.0,Berlin,Enabled,de,Wed Apr 23 14:21:47 +0000 2008,Berlin,15202,278,34047,406,government,33.345,3.4456,E2EL82825DOTSAM0.png,2816
F3897S7G88BTS462,Doi57PR9,,Not set,Verified,3b94d9,efefef,c0deed,False,-18000.0,,Enabled,en,Sat Apr 24 16:02:33 +0000 2010,Central Time (US & Canada),264743,807,4610,895,unknown,32.688,0.7823,F3897S7G88BTS462.png,1209
REDCK1HQ25RCK26N,_eLlE_,https://blob/zfh5Mhw7/.com,Set,Verified,036694,ddeef6,c0deed,False,-25200.0,"Seattle, WA",disabled,en,Fri May 01 18:38:22 +0000 2009,Pacific Time (US & Canada),4124336,26615,4082,5331,government,36.576,4.4633,REDCK1HQ25RCK26N.png,63
TM8RE7STJ8RFJ30C,5uLsAGLtqXHB,,Set,Verified,1da1f2,ddeef6,c0deed,True,,,Disabled,ko,Wed Mar 14 08:36:44 +0000 2012,,808659,35,633,4503,unknown,9.944,3.7621,TM8RE7STJ8RFJ30C.png,2
JTBRP70BD5ASAHNA,ML0qOX3fq6,,Not set,Verified,1a1a1a,d6d6d6,1a1a1a,False,-25200.0,,??,en,Thu Oct 16 03:49:34 +0000 2008,Pacific Time (US & Canada),1852647,51,2058,9541,unknown,29.535,0.5878,JTBRP70BD5ASAHNA.png,1562
J45BGQ1MCJFPA998,WdefxqvKsj,,Set,Not verified,0065b3,000000,000000,False,-25200.0,"Stockholm, Sverige",Enabled,en,Mon Sep 01 01:07:28 +0000 2014,Arizona,372594,861,1633,45,business,24.476,1.4183,J45BGQ1MCJFPA998.png,3033
4BDSL0P0337096G9,OiXqadMeFbize,,Set,Not verified,8f0808,000000,000000,False,28800.0,,enabled,en,Tue Aug 04 08:57:18 +0000 2009,Hong Kong,1106401,813,28662,456,business,35.295,,4BDSL0P0337096G9.png,7429
5QPGLPDB8AIKF2LJ,eXjPWoqAe7,,Set,Verified,0084b4,c0dfec,000000,False,-10800.0,"Santiago, Chile",Enabled,es,Fri Oct 02 22:04:11 +0000 2009,Santiago,219759,16446,13451,288,business,26.038,2.3708,5QPGLPDB8AIKF2LJ.png,11961
CNDAI89D86NLJJEK,DgWPNjCmr,https://blob/mtOtlvyqr.com,Set,Verified,df0101,ddeef6,f78181,False,32400.0,Tokyo Japan,Enabled,ja,Tue Jun 04 12:47:09 +0000 2013,Tokyo,22513,85,1039,393,unknown,21.775,6.0963,CNDAI89D86NLJJEK.png,11
BD5MJ0M9F7481EK5,tnZJgKJN,https://blob/izo0zr/bbe.com,Set,Verified,2fc2ef,333333,1a1b1f,False,18000.0,"Lahore, Pakistan",Enabled,en,Sun Jan 02 05:34:46 +0000 2011,Islamabad,1142468,0,218,904,unknown,39.23,0.5854,BD5MJ0M9F7481EK5.png,2
L3SE27BJ5DJBC4L7,M9WQEcPLocd,,Set,Verified,1da1f2,ddeef6,c0deed,True,19800.0,,??,en,Fri Aug 07 09:56:49 +0000 2009,New Delhi,39939,291,17199,115,government,14.261,1.2209,L3SE27BJ5DJBC4L7.png,3848
5SSIJHBFHCL5RO62,4FaLg,,Set,Verified,00baf2,252429,a4def2,False,19800.0,India,Enabled,en,Mon May 17 09:23:32 +0000 2010,New Delhi,556279,25,29961,454,government,10.83,2.1038,5SSIJHBFHCL5RO62.png,4691
71AQDA8IH4B128RI,1zxQ98Z,https://blob/fpp14_mrt.com,Set,Verified,009999,efefef,ffffff,False,-25200.0,"Los Angeles, CA",Enabled,en,Thu Oct 09 11:07:42 +0000 2008,Pacific Time (US & Canada),3230689,10628,192577,30617,government,26.044,5.8242,71AQDA8IH4B128RI.png,2863
2L9J60KAIP2049Q5,OPxR7gDhJefTK,,Set,Verified,2fc2ef,252429,1a1b1f,False,-18000.0,NYC & the rest of the world ✈️,Enabled,en,Thu Jan 06 19:56:45 +0000 2011,Central Time (US & Canada),312455,333,10130,252,unknown,13.846,10.4373,2L9J60KAIP2049Q5.png,32845
CH38QNFR9LBCO707,ubuZa66gDYuuMLi,https://blob/l/ott1e83.com,Set,Not verified,5b649b,7e151c,c0deed,False,7200.0,España,Disabled,es,Thu Mar 17 10:03:21 +0000 2011,Madrid,7712,1851,4355,69,unknown,31.994,2.8651,CH38QNFR9LBCO707.png,400
